2021-12-09 08:22:16,418 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-12-09 08:22:16,586 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-12-09 08:22:16,586 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-12-09 08:22:16,586 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-12-09 08:22:16,586 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-12-09 08:22:16,586 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-12-09 08:22:16,601 INFO  SwAddin.cs: 201 - Setting up command manager
2021-12-09 08:22:16,601 INFO  SwAddin.cs: 204 - Adding command manager
2021-12-09 08:22:16,601 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-12-09 08:22:16,601 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-12-09 08:22:16,601 INFO  SwAddin.cs: 210 - Adding event handlers
2021-12-09 08:22:16,766 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-12-09 09:55:34,582 INFO  SwAddin.cs: 294 - Assembly export called for file Assem4
2021-12-09 09:55:34,613 INFO  SwAddin.cs: 299 - Save is required
2021-12-09 09:55:34,613 INFO  SwAddin.cs: 313 - Saving assembly
2021-12-09 09:55:36,709 INFO  SwAddin.cs: 316 - Opening property manager
2021-12-09 09:55:36,809 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem4
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1136 - Found 72 in Assem4
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem4
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from casterhub-2
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1136 - Found 24 in casterhub-2
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in casterhub-2
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from casterwheel3-1
2021-12-09 09:55:36,836 INFO  ExportHelperExtension.cs: 1136 - Found 25 in casterwheel3-1
2021-12-09 09:55:36,852 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in casterwheel3-1
